ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.19,938,0.780366057,0.876815794,0.784280936,0.881214535
0.19,932,0.775374376,0.871207164,0.779264214,0.875577769
0.19,951,0.791181364,0.888967825,0.797818792,0.896425609
0.19,946,0.787021631,0.884293967,0.794957983,0.893211217
0.19,954,0.793677205,0.89177214,0.798994975,0.897747163
0.19,925,0.769550749,0.864663763,0.774058577,0.869728738
0.19,963,0.801164725,0.900185084,0.803839733,0.903190711
0.19,964,0.801996672,0.901119856,0.806694561,0.906398383
0.19,954,0.793677205,0.89177214,0.80033557,0.899253449
0.19,957,0.796173045,0.894576455,0.800167224,0.899064297
0.19,962,0.800332779,0.899250313,0.806370495,0.906034264
0.19,942,0.783693844,0.880554881,0.786967419,0.884233055
0.19,947,0.787853577,0.885228738,0.793132328,0.891159919
0.19,956,0.795341098,0.893641683,0.802686818,0.901895301
0.19,965,0.802828619,0.902054628,0.804837364,0.904311645
0.19,948,0.788685524,0.88616351,0.79264214,0.890609146
0.19,946,0.787021631,0.884293967,0.792294807,0.890218884
0.19,924,0.768718802,0.863728991,0.773869347,0.86951612
0.19,936,0.778702163,0.874946251,0.780650542,0.87713544
0.19,982,0.816971714,0.917945746,0.822445561,0.924096136
0.19,959,0.797836938,0.896445998,0.803855826,0.903208793
0.19,959,0.797836938,0.896445998,0.801839465,0.900943219
0.19,927,0.771214642,0.866533306,0.775083612,0.870880463
0.19,944,0.785357737,0.882424424,0.790619765,0.888336815
0.19,938,0.780366057,0.876815794,0.787573468,0.884914009
0.19,950,0.790349418,0.888033054,0.796979866,0.895482996
0.2,924,0.768718802,0.863728991,0.77581864,0.871706337
0.2,925,0.769550749,0.864663763,0.774706868,0.870457155
0.2,932,0.775374376,0.871207164,0.781879195,0.878515949
0.2,917,0.762895175,0.85718559,0.769941226,0.865102501
0.2,951,0.791181364,0.888967825,0.797818792,0.896425609
0.2,947,0.787853577,0.885228738,0.791144528,0.888926436
0.2,948,0.788685524,0.88616351,0.794635373,0.892848734
0.2,944,0.785357737,0.882424424,0.789297659,0.886851302
0.2,951,0.791181364,0.888967825,0.794486216,0.892681142
0.2,932,0.775374376,0.871207164,0.780569514,0.877044398
0.2,944,0.785357737,0.882424424,0.791282481,0.889081439
0.2,935,0.777870216,0.874011479,0.787700084,0.885056274
0.2,937,0.77953411,0.875881022,0.788057191,0.885457518
0.2,932,0.775374376,0.871207164,0.779264214,0.875577769
0.2,932,0.775374376,0.871207164,0.785172704,0.882216521
0.2,969,0.806156406,0.905793715,0.80952381,0.909577315
0.2,959,0.797836938,0.896445998,0.800500835,0.89943914
0.2,947,0.787853577,0.885228738,0.797809604,0.896415285
0.2,945,0.786189684,0.883359196,0.790794979,0.888533684
0.2,948,0.788685524,0.88616351,0.793969849,0.892100954
0.2,950,0.790349418,0.888033054,0.793650794,0.891742465
0.2,945,0.786189684,0.883359196,0.793450882,0.891517845
0.2,942,0.783693844,0.880554881,0.788284519,0.885712943
0.2,945,0.786189684,0.883359196,0.792785235,0.890769927
0.2,921,0.766222962,0.860924676,0.770711297,0.865967749
0.2,940,0.78202995,0.878685337,0.784641068,0.881619178
0.2,951,0.791181364,0.888967825,0.793160967,0.891192098
0.2,947,0.787853577,0.885228738,0.793132328,0.891159919
0.2,964,0.801996672,0.901119856,0.807370184,0.90715751
0.2,941,0.782861897,0.879620109,0.790092359,0.887744224
0.2,953,0.792845258,0.890837369,0.798826488,0.897557852
0.2,936,0.778702163,0.874946251,0.784576697,0.881546851
0.2,940,0.78202995,0.878685337,0.794590025,0.892797781
0.2,944,0.785357737,0.882424424,0.791282481,0.889081439
0.2,943,0.78452579,0.881489652,0.792436975,0.890378624
0.2,950,0.790349418,0.888033054,0.796311819,0.894732381
0.2,938,0.780366057,0.876815794,0.78559464,0.882690607
0.2,949,0.789517471,0.887098282,0.797478992,0.896043811
0.2,947,0.787853577,0.885228738,0.79379715,0.89190691
0.2,973,0.809484193,0.909532801,0.812865497,0.913332019
0.2,950,0.790349418,0.888033054,0.796979866,0.895482996
0.2,932,0.775374376,0.871207164,0.783193277,0.879992446
0.2,957,0.796173045,0.894576455,0.802852349,0.902081291
0.2,938,0.780366057,0.876815794,0.786253143,0.883430498
0.2,938,0.780366057,0.876815794,0.786912752,0.884171631
0.2,959,0.797836938,0.896445998,0.80251046,0.901697146
0.2,919,0.764559068,0.859055133,0.772268908,0.867717874
0.2,940,0.78202995,0.878685337,0.788590604,0.886056858
0.2,923,0.767886855,0.862794219,0.773679799,0.869303145
0.2,948,0.788685524,0.88616351,0.794635373,0.892848734
0.21,935,0.777870216,0.874011479,0.780467446,0.876929715
0.21,942,0.783693844,0.880554881,0.789606035,0.887197792
0.21,926,0.770382696,0.865598535,0.772954925,0.86848868
0.21,936,0.778702163,0.874946251,0.783919598,0.880808537
0.21,936,0.778702163,0.874946251,0.781954887,0.878600997
0.21,939,0.781198003,0.877750565,0.787751678,0.885114245
0.21,937,0.77953411,0.875881022,0.786733837,0.883970603
0.21,933,0.776206323,0.872141936,0.778797997,0.875053929
0.21,934,0.77703827,0.873076708,0.783557047,0.880401176
0.21,950,0.790349418,0.888033054,0.796311819,0.894732381
0.21,931,0.774542429,0.870272392,0.779079498,0.875370222
0.21,948,0.788685524,0.88616351,0.794635373,0.892848734
