#Protein A	Protein B
1017	6667
1017	6709
1017	6711
1017	6737
1017	6767
1017	6830
1017	6872
1017	7014
1017	7027
1017	7094
1017	7170
1017	7171
1017	7174
1017	7178
1017	7416
1017	7431
1017	7465
1017	7520
1017	7531
1017	7555
1017	7704
1017	7798
1017	7874
1017	7915
1017	8030
1017	8085
1017	8450
1017	8454
1017	8473
1017	8508
1017	8531
1017	8607
1017	8826
1017	8880
1017	9043
1017	9203
1017	9601
1017	9656
1017	9733
1017	9847
1017	9869
1017	9908
1017	9967
1017	9972
1017	9991
1017	10128
1017	10130
1017	10238
1017	10643
1017	10771
1017	10982
1017	11143
1017	11160
1017	11198
1017	22919
1017	22938
1017	22992
1017	22998
1017	23060
1017	23074
1017	23136
1017	23164
1017	23193
1017	23339
1017	23367
1017	23420
1017	23450
1017	23451
1017	23499
1017	23524
1017	25939
1017	26003
1017	26058
1017	26092
1017	26509
1017	26524
1017	29766
1017	29785
1017	29883
1017	51520
1017	51554
1017	55083
1017	55689
1017	55746
1017	55917
1017	56852
1017	56922
1017	57122
1017	60312
1017	64087
1017	79026
1017	83939
1017	84986
1017	85417
1017	91748
1017	116840
1017	130074
1017	154796
1017	157922
1017	204851
1017	222484
1017	376267
1075	1514
1075	4149
1075	6872
1075	8530
1075	25820
1075	125058
1084	6279
1084	6280
1084	6714
1084	6850
1084	122011
1107	1457
1107	3064
1107	3065
1107	4122
1107	5116
1107	6045
1107	6595
1107	6667
1107	6886
1107	7431
1107	8880
1107	8932
1107	9839
1107	10320
1107	10625
1107	10765
1107	22938
1107	23028
1107	25942
1107	51631
1117	2113
1138	1667
1138	6504
1149	3383
1149	7704
1153	1457
1153	2335
1153	3190
1153	6045
1153	6872
1153	7094
1153	7412
1153	8452
1153	8454
1153	9529
1153	10419
1153	26065
1153	57154
1153	400961
1181	4149
1181	4931
1181	5708
1182	3172
1182	3964
1182	3965
1182	4149
1182	6872
1182	219931
1184	3964
1184	11059
1185	2064
1185	3172
1185	4149
1193	2335
1200	1956
1200	3064
1200	6872
1200	7874
1200	80169
1215	3553
1230	1969
1230	3716
1230	6348
1230	6351
1230	6358
1230	6368
1230	80854
1232	3055
1232	6348
1232	6351
1232	6358
1232	6369
1232	56477
1238	5129
1238	6348
1238	6351
1238	6358
1238	56477
1241	2769
1244	3172
1244	5018
1244	9868
1244	11031
1244	93380
1269	2769
1269	5708
1314	1408
1314	1956
1314	3428
1314	4735
1314	4867
1314	6045
1314	6606
1314	6789
1314	6872
1314	7412
1314	8924
1314	9447
1314	22938
1314	26523
1314	26958
1314	27161
1314	149628
1356	4057
1356	4353
1356	5340
1356	30061
1356	81609
1361	2335
1361	3172
1361	5340
1362	1667
1362	56852
1373	4005
1373	8905
1373	9868
1373	10128
1373	27161
1378	1604
1387	1457
1387	1459
1387	1490
1387	1859
1387	1958
1387	2033
1387	2034
1387	2113
1387	2114
1387	2260
1387	2273
1387	2547
1387	3055
1387	3064
1387	3065
1387	3091
1387	3172
1387	3217
1387	3383
1387	3394
1387	3551
1387	3621
1387	3663
1387	4067
1387	4088
1387	4089
1387	4303
1387	4306
1387	4862
1387	4928
1387	5087
1387	5430
1387	5580
1387	5594
1387	5618
1387	5708
1387	6097
1387	6196
1387	6595
1387	6667
1387	6688
1387	6714
1387	6737
1387	6777
1387	6908
1387	7027
1387	7097
1387	7421
1387	7994
1387	8202
1387	8295
1387	8554
1387	8607
1387	8648
1387	8743
1387	8932
1387	9612
1387	9656
1387	9794
1387	10013
1387	10370
1387	10379
1387	10401
1387	10499
1387	10771
1387	10847
1387	10891
1387	23054
1387	23426
1387	26959
1387	28996
1387	30009
1387	51621
1387	51780
1387	57658
1387	493861
1393	6872
1393	23304
1393	197131
1399	1408
1399	1793
1399	1794
1399	1956
1399	2064
1399	2065
1399	2321
1399	2549
1399	2885
1399	3055
1399	3172
1399	3454
1399	3480
1399	3635
1399	3688
1399	3815
1399	4067
1399	4739
1399	4853
1399	5156
1399	5295
1399	5594
1399	5747
1399	6654
1399	6777
1399	6850
1399	6872
1399	7412
1399	7454
1399	7456
1399	7535
1399	7874
1399	8495
1399	9046
1399	9665
1399	9846
1399	10075
1399	11184
1399	29760
1399	51322
1399	57498
1399	79834
1399	80153
1408	1642
1408	1778
1408	2547
1408	3190
1408	4134
1408	4281
1408	4522
1408	4841
1408	4862
1408	5528
1408	5591
1408	5708
1408	5717
1408	5903
1408	6184
1408	7531
1408	7874
1408	8239
1408	8454
1408	8653
1408	8863
1408	8864
1408	8914
1408	9343
1408	10075
1408	10128
1408	23020
1408	23405
1408	51366
1408	89857
1431	3065
1431	3172
1431	7189
1431	10075
1431	54880
1436	2534
1436	2885
1436	3635
1436	4067
1436	5295
1436	5315
1436	6654
1436	6714
1436	8563
1436	9924
1439	2534
1439	3055
1439	3383
1439	3551
1439	3688
1439	3716
1439	3717
1439	3791
1439	3815
1439	3932
1439	3936
1439	4067
1439	4149
1439	5295
1439	5579
1439	5777
1439	6850
1441	2885
1441	3055
1441	3635
1441	3716
1441	3717
1441	3932
1441	4067
1441	6688
1441	6850
1457	1459
1457	1636
1457	1956
1457	1958
1457	1975
1457	2037
1457	2071
1457	2153
1457	2243
1457	2246
1457	2335
1457	2547
1457	2643
1457	2982
1457	3059
1457	3065
1457	3091
1457	3172
1457	3190
1457	3217
1457	3383
1457	3428
1457	3482
1457	3603
1457	3660
1457	3667
1457	3811
1457	4067
1457	4149
